pillar,ksa,description
Validate,Customer Service 2,Are there localised phone numbers available where relevant?
Validate,Images/Videos,Are product videos available on-site?
Validate,Images/Videos,Are images of good quality?
Validate,Images/Videos,Do images provide a true representation of the product?
Validate,Images/Videos,Are images aligned and consistent across all products and categories?
Validate,Product Comparison,Is a product comparison available on the website?
Validate,Product Comparison,"If available, is the product comparison logical and easy to use?"
Validate,Product Info,Is product info consistent and aligned across all items & categories?
Validate,Product Info,Is product info detailed and enriched for the user to get a true feel for the product?
Validate,Returns Policies,Is there quick access to the return policy from the PDP?
Validate,Reviews 2,Are the majority of products reviewed?
Validate,Reviews 2,Are product reviews shown on-site?
Validate,Reviews 2,Are company/overall business reviews available on-site?
Validate,Reviews 2,Are there replies to reviews where necessary?
Validate,Social Feed,Is a social feed relating specifically to the product shown on the PDP?
